_time,temperature,humidity,pressure,windspeed,solarvolt,batvolt
2024-02-06 21:02:27.986000+00:00,24.5,100.0,987.4033203,0.0,0.0,4.797863007
2024-02-06 21:12:41.635000+00:00,24.48500061,100.0,987.3619995,0.0,0.0,4.799230576
2024-02-06 21:22:55.497000+00:00,24.43500137,100.0,987.4494629,0.0,0.0,4.797008514
2024-02-06 21:33:09.492000+00:00,24.44499969,100.0,987.5168457,0.0,0.0,4.798119545
2024-02-06 21:43:23.290000+00:00,24.35000038,100.0,987.5362549,15.29528427,0.0,4.798034668
2024-02-06 21:53:36.876000+00:00,24.30500031,100.0,987.5769043,0.0,0.0,4.797265053
2024-02-06 22:03:50.729000+00:00,24.22500038,100.0,987.5269775,3.990073919,0.0,4.798376083
2024-02-06 22:14:04.686000+00:00,24.27000046,100.0,987.5562744,3.990073919,0.0,4.794102669
2024-02-06 22:24:18.848000+00:00,24.29000092,100.0,987.7075195,0.0,0.0,4.796238899
2024-02-06 22:34:32.517000+00:00,24.32500076,100.0,987.7598267,0.0,0.0,4.794016838
2024-02-06 22:44:47.028000+00:00,24.30999947,100.0,987.739624,0.0,0.0,4.794188023
2024-02-06 22:55:00.422000+00:00,24.29500008,100.0,987.6719971,0.0,0.0,4.792136669
2024-02-06 23:05:14.744000+00:00,24.21500015,100.0,987.6425781,0.0,0.0,4.794273376
2024-02-06 23:15:28.789000+00:00,24.15999985,100.0,987.6768799,0.0,0.0,4.79017067
2024-02-06 23:25:42.835000+00:00,24.15500069,100.0,987.6804199,0.0,0.0,4.791709423
2024-02-06 23:35:56.843000+00:00,12.02000046,100.0,968.5273438,0.0,0.0,4.78965807
2024-02-06 23:46:11.196000+00:00,23.84000015,100.0,987.4991455,0.0,0.0,4.788974285
2024-02-06 23:56:25.065000+00:00,23.56499863,100.0,987.190918,9.310173035,0.0,4.789486885
2024-02-07 00:06:39.073000+00:00,23.54500008,100.0,987.1921387,3.990073919,0.0,4.784700394
2024-02-07 00:16:52.778000+00:00,23.625,100.0,987.1220093,0.0,0.0,4.793248177
2024-02-07 00:27:06.786000+00:00,23.72999954,100.0,987.0342407,0.0,0.0,4.785897255
2024-02-07 00:37:21.337000+00:00,23.66500092,100.0,986.9431152,0.0,0.0,4.786153793
2024-02-07 00:47:34.968000+00:00,23.63000107,100.0,986.9455566,7.315135956,0.0,4.784786224
2024-02-07 00:57:48.910000+00:00,23.57500076,100.0,986.8494873,11.30521011,0.0,4.786153793
2024-02-07 01:08:03.166000+00:00,23.57500076,100.0,986.8824463,0.0,0.0,4.783504486
2024-02-07 01:18:17.132000+00:00,23.58499908,100.0,986.8453369,0.0,0.0,4.783931732
2024-02-07 01:28:31.116000+00:00,23.48999977,100.0,986.7845459,23.94044495,0.0,4.785042763
2024-02-07 01:38:44.912000+00:00,23.65499878,100.0,986.6978149,0.0,0.0,4.782136917
2024-02-07 01:48:58.825000+00:00,23.64999962,100.0,986.5510254,0.0,0.0,4.786923409
2024-02-07 01:59:12.880000+00:00,23.63499832,100.0,986.4448853,0.0,0.0,4.78555584
2024-02-07 02:09:27.009000+00:00,23.64999962,100.0,986.2797241,0.0,0.0,4.780426979
2024-02-07 02:19:41.065000+00:00,23.43500137,100.0,986.1633301,12.63523483,0.0,4.778547287
2024-02-07 02:29:54.902000+00:00,23.40499878,100.0,986.0791626,3.325061798,0.0,4.780171394
2024-02-07 02:40:08.969000+00:00,23.28499985,100.0,985.8879395,7.980148315,0.0,4.78059864
2024-02-07 02:50:22.862000+00:00,23.23999977,100.0,985.7781372,7.315135956,0.0,4.775042534
2024-02-07 03:00:37.011000+00:00,23.30500031,100.0,985.6918945,11.30521011,0.0,4.779487133
2024-02-07 03:10:51.032000+00:00,23.34500122,100.0,985.5870361,0.0,0.0,4.777692318
2024-02-07 03:21:05.126000+00:00,23.31999969,100.0,985.3015137,7.315135956,0.0,4.780940056
2024-02-07 03:31:19.079000+00:00,23.25500107,100.0,984.9978027,7.315135956,0.0,4.775042534
2024-02-07 03:41:32.926000+00:00,23.25,100.0,984.8439331,3.325061798,0.0,4.777606964
2024-02-07 03:51:47.267000+00:00,23.22499847,100.0,984.6137085,3.325061798,0.0,4.774530411
2024-02-07 04:02:01.253000+00:00,23.21500015,100.0,984.491333,0.0,0.0,4.774615288
2024-02-07 04:12:15.302000+00:00,23.15499878,100.0,984.4672241,0.0,0.0,4.774273396
2024-02-07 04:22:29.370000+00:00,23.14500046,100.0,984.4099121,0.0,0.0,4.774615288
2024-02-07 04:32:43.416000+00:00,23.06000137,100.0,984.4093628,0.0,0.0,4.770171165
2024-02-07 04:42:57.255000+00:00,23.07500076,100.0,984.5015869,0.0,0.0,4.777606964
2024-02-07 04:53:11.158000+00:00,23.09999847,100.0,984.5828247,0.0,0.0,4.773589611
2024-02-07 05:03:24.992000+00:00,23.15499878,100.0,984.7713013,0.0,0.0,4.774529934
2024-02-07 05:13:39.173000+00:00,23.24499893,100.0,984.8810425,0.0,0.0,4.771538734
