_time,tipo_aviso,grau_severidade,temperature,humidity,pressure,altitude,windspeed,solarvolt,batvolt
"2024-02-12 06:52:46.258000+00:00,""TM, TM, TM"",""PP, PP, P"",26.81999969,75.46240234,982.9921265,,0.0,5.102157116,4.773846149"
"2024-02-12 07:02:57.784000+00:00,""TM, TM, TM"",""PP, PP, P"",27.16500092,73.95849609,982.8918457,,0.0,5.156085014,4.774102211"
"2024-02-12 07:13:08.981000+00:00,""TM, TM, TM"",""PP, PP, P"",28.14999962,68.27001953,982.9530029,,0.0,5.155880928,4.778119564"
"2024-02-12 07:23:23.095000+00:00,""TM, TM, TM"",""PP, PP, P"",28.5,67.76025391,983.0750122,,0.0,5.154049873,4.780256271"
"2024-02-12 07:33:34.304000+00:00,""TM, TM, TM"",""PP, PP, P"",28.72500038,67.00830078,983.067627,,0.0,5.18253994,4.779315948"
"2024-02-12 07:43:46.402000+00:00,""TM, TM, TM"",""PP, PP, P"",29.75500107,62.46875,983.114502,,0.0,5.236467361,4.782307625"
"2024-02-12 07:54:00.956000+00:00,""TM, TM, TM"",""PP, PP, P"",28.53499985,74.24902344,983.3212891,,0.0,5.230158806,4.788375854"
"2024-02-12 08:04:12.875000+00:00,""TM, TM, TM"",""PP, PP, P"",29.125,70.10888672,983.3010254,,0.0,5.242165565,4.788033962"
"2024-02-12 08:14:24.053000+00:00,""TM, TM, TM"",""PP, PP, P"",29.57999992,71.82275391,983.2340088,,0.0,5.230769157,4.792136669"
"2024-02-12 08:24:38.152000+00:00,""TM, TM, TM"",""PP, PP, P"",28.72500038,74.74365234,983.2853394,,0.0,5.26658535,4.79384613"
"2024-02-12 08:34:50.201000+00:00,""TM, TM, TM"",""PP, PP, P"",29.54500008,72.37060547,983.3380127,,0.0,5.255392551,4.793760777"
"2024-02-12 08:45:01.330000+00:00,""TM, TM, TM"",""PP, PP, P"",30.42000008,68.87841797,983.3913574,,0.0,5.245014191,4.797265053"
"2024-02-12 08:55:15.070000+00:00,""TM, TM, TM"",""PP, PP, P"",30.52000046,69.09179688,983.4909058,,0.0,5.255799294,4.799401283"
"2024-02-12 09:05:27.246000+00:00,""TM, TM, TM"",""PP, PP, P"",31.875,63.96728516,983.4663086,,0.0,5.292836666,4.80188036"
"2024-02-12 09:15:39.023000+00:00,""TM, TM, TM"",""PP, PP, P"",31.81999969,64.30712891,983.4210205,,0.0,5.31746006,4.808119774"
"2024-02-12 09:25:53.227000+00:00,""TM, TM, TM"",""PP, PP, P"",31.61499977,64.78955078,983.4447021,,0.0,5.353072643,4.813675404"
"2024-02-12 09:36:04.373000+00:00,""TM, TM, TM"",""PP, PP, P"",32.55500031,61.25927734,983.4885254,,0.0,5.369353294,4.820683479"
"2024-02-12 09:46:15.703000+00:00,""TM, TM, TM"",""PP, PP, P"",33.47999954,57.74072266,983.4428711,,0.0,5.365893364,4.825897217"
"2024-02-12 09:56:30.235000+00:00,""TM, TM, TM"",""PP, PP, P"",32.77999878,59.37792969,983.4180908,,0.0,5.417582512,4.830085754"
