_time,tipos_aviso,graus_severidade,temperature,humidity,pressure,altitude,windspeed,solarvolt,batvolt
"2024-02-11 07:04:16.649000+00:00,""TM"",""PP"",25.04500008,73.08935547,985.2546387,,0.0,5.128408432,4.773161888"
"2024-02-11 07:14:28.431000+00:00,""TM"",""PP"",25.25500107,71.87451172,985.4442139,,0.0,5.177044868,4.772906303"
"2024-02-11 07:24:42.089000+00:00,""TM"",""PP"",25.42499924,71.64453125,985.515625,,0.0,5.177248955,4.774785995"
"2024-02-11 07:34:53.115000+00:00,""TM"",""PP"",25.47000122,71.89208984,985.5314941,,0.0,5.157305717,4.775043011"
"2024-02-11 07:45:04.475000+00:00,""TM"",""PP"",25.76000023,70.82324219,985.4141235,,3.325061798,5.233618259,4.778632164"
"2024-02-11 07:55:19.037000+00:00,""TM"",""PP"",26.35000038,68.41113281,985.4210815,,3.325061798,5.266178131,4.781538486"
"2024-02-11 08:05:30.221000+00:00,""TM"",""PP"",26.70999908,67.24023438,985.5550537,,17.95533371,5.281847477,4.786153793"
"2024-02-11 08:15:41.741000+00:00,""TM"",""PP"",27.04499817,65.47753906,985.6463623,,14.63027191,5.289784431,4.789316177"
"2024-02-11 08:25:55.729000+00:00,""TM"",""PP"",27.60499954,64.37939453,985.7373047,,9.975185394,5.291412354,4.792392731"
"2024-02-11 08:36:06.962000+00:00,""TM"",""PP"",27.68499947,63.51757813,985.7652588,,20.61538506,5.283068657,4.794188023"
"2024-02-11 08:46:17.773000+00:00,""TM"",""PP"",28.19499969,62.75878906,985.84729,,3.990073919,5.285917759,4.793333054"
"2024-02-11 08:56:31.893000+00:00,""TM"",""PP"",28.29499817,63.52929688,985.8377686,,3.325061798,5.310948372,4.794700623"
"2024-02-11 09:06:42.799000+00:00,""TM"",""PP"",29.25,60.82568359,985.8189697,,10.6401968,5.30789566,4.798717976"
"2024-02-11 09:16:53.766000+00:00,""TM"",""PP"",29.57999992,59.92773438,985.8565674,,0.0,5.342694283,4.802734852"
"2024-02-11 09:27:07.854000+00:00,""TM"",""PP"",29.91500092,59.98974609,985.8792725,,7.980147839,5.374237061,4.808205128"
"2024-02-11 09:37:20.808000+00:00,""TM"",""PP"",30.52999878,56.92578125,985.9299316,,0.0,5.39214468,4.818376064"
"2024-02-11 09:47:32.741000+00:00,""TM"",""PP"",30.94499969,55.34375,985.8861694,,7.980147839,5.409442425,4.825299263"
"2024-02-11 09:57:46.776000+00:00,""TM"",""PP"",31.02499962,54.92626953,985.8920898,,3.990073919,5.426943779,4.830170631"
"2024-02-11 10:07:57.595000+00:00,""TM"",""PP"",31.13999939,56.10742188,985.8226318,,15.29528522,5.455026627,4.833504677"
"2024-02-11 10:18:08.473000+00:00,""TM"",""PP"",31.75,52.30712891,985.8181152,,7.980147839,5.48697567,4.836667061"
"2024-02-11 10:28:22.422000+00:00,""TM"",""PP"",31.73999977,50.54101563,985.8755493,,7.980147839,5.503663063,4.840683937"
"2024-02-11 10:38:33.357000+00:00,""TM"",""PP"",32.68000031,49.33349609,985.8925781,,0.0,5.528896809,4.844871521"
"2024-02-11 10:48:44.689000+00:00,""TM"",""PP"",33.25,48.16113281,985.8757324,,0.0,5.549246788,4.849060059"
"2024-02-11 10:58:58.605000+00:00,""TM"",""PP"",33.09000015,45.65429688,985.8097534,,15.96029568,6.07224226,5.350341797"
"2024-02-11 11:09:09.619000+00:00,""TM"",""PP"",33.22999954,45.97753906,985.7087402,,0.0,6.629833221,5.864358902"
"2024-02-11 11:19:20.645000+00:00,""TM"",""PP"",33.55500031,43.49414063,985.6143799,,12.63523483,6.61375618,5.859316349"
"2024-02-11 11:29:43.452000+00:00,""TM"",""PP"",33.72000122,43.77441406,985.5061035,,0.0,6.656898499,5.883162498"
"2024-02-11 11:39:54.380000+00:00,""TM"",""PP"",33.57500076,44.01367188,985.414978,,12.63523483,6.659137249,5.895384789"
"2024-02-11 11:50:05.246000+00:00,""TM"",""PP"",34.02000046,43.64160156,985.3781128,,3.990073919,6.636345387,5.865555763"
"2024-02-11 12:00:19.820000+00:00,""TM"",""PP"",34.13500214,42.62255859,985.3341064,,3.325061798,6.635937691,5.867777824"
"2024-02-11 12:10:30.874000+00:00,""TM"",""PP"",33.52500153,43.87695313,985.2210693,,17.95533371,6.757224083,5.987350464"
