_time,tipo_aviso,grau_severidade,temperature,humidity,pressure,altitude,windspeed,solarvolt,batvolt
"2024-02-10 07:05:51.477000+00:00,""TM"",""PP"",24.66500092,85.53076172,986.5435791,,21.94540787,4.397232533,4.772563934"
"2024-02-10 07:16:02.305000+00:00,""TM"",""PP"",24.93999863,84.68115234,986.5922852,,0.0,4.520757198,4.770598412"
"2024-02-10 07:26:16.446000+00:00,""TM"",""PP"",25.13500023,83.56884766,986.6923828,,11.30521011,4.658526897,4.773162842"
"2024-02-10 07:36:27.445000+00:00,""TM"",""PP"",25.44499969,82.20849609,986.723999,,0.0,5.218152046,4.779145241"
"2024-02-10 07:46:38.884000+00:00,""TM"",""PP"",25.86499977,79.94873047,986.6591797,,13.9652586,5.218559265,4.778717995"
"2024-02-10 07:56:53.592000+00:00,""TM"",""PP"",26.16500092,78.39550781,986.5372314,,0.0,5.215506554,4.779914379"
"2024-02-10 08:07:04.794000+00:00,""TM"",""PP"",26.43499947,78.11230469,986.5488281,,0.0,5.255393028,4.785384655"
"2024-02-10 08:17:15.765000+00:00,""TM"",""PP"",26.89999962,76.68798828,986.6417847,,19.28535843,5.27370739,4.786922932"
"2024-02-10 08:27:29.642000+00:00,""TM"",""PP"",27.29000092,75.10986328,986.7095947,,0.0,5.273097515,4.788290501"
"2024-02-10 08:37:40.876000+00:00,""TM"",""PP"",27.5,73.22167969,986.7816162,,0.0,5.294465065,4.791196823"
"2024-02-10 08:47:51.680000+00:00,""TM"",""PP"",27.57999992,72.39550781,986.848877,,3.990073919,5.289580822,4.793162346"
"2024-02-10 08:58:05.535000+00:00,""TM"",""PP"",28.0,71.48974609,986.8726807,,14.63027096,5.313796997,4.795384407"
"2024-02-10 09:08:16.512000+00:00,""TM"",""PP"",28.67499924,68.51367188,986.9977417,,0.0,5.321530342,4.79888916"
"2024-02-10 09:18:27.834000+00:00,""TM"",""PP"",28.63000107,67.609375,987.0705566,,11.30521011,5.326414108,4.801879883"
"2024-02-10 09:28:41.801000+00:00,""TM"",""PP"",28.97500038,66.37841797,987.0628052,,7.980147839,5.366300583,4.810427666"
"2024-02-10 09:38:52.754000+00:00,""TM"",""PP"",29.50999832,65.64697266,987.0979614,,3.990073919,5.392551899,4.819828987"
"2024-02-10 09:49:04.847000+00:00,""TM"",""PP"",30.17499924,63.42724609,987.1068115,,0.0,5.346967697,4.82222271"
